update_date,close
2014/4/22,101.82
2014/4/23,101.51
2014/4/24,101.96
2014/4/25,100.57
2014/4/28,100.85
2014/4/29,100.74
2014/4/30,99.74
2014/5/1,99.12
2014/5/2,100.1
2014/5/6,99.88
2014/5/7,100.85
2014/5/8,100.3
2014/5/9,100.08
2014/5/12,100.63
2014/5/13,101.91
2014/5/14,102.07
2014/5/15,101.56
2014/5/16,102.15
2014/5/19,102.63
2014/5/20,102.98
2014/5/21,103.84
2014/5/22,103.77
2014/5/23,104.37
2014/5/27,104.13
2014/5/28,103.1
2014/5/29,103.55
2014/5/30,102.9
2014/6/2,102.4
2014/6/3,102.76
2014/6/4,102.35
2014/6/5,102.45
2014/6/6,102.81
2014/6/9,104.56
2014/6/10,104.32
2014/6/11,104.52
2014/6/12,106.81
2014/6/13,106.8
2014/6/16,106.6
2014/6/17,106.56
2014/6/18,106.19
2014/6/19,106.38
2014/6/20,106.7
2014/6/23,105.97
2014/6/24,106.32
2014/6/25,106.7
2014/6/26,105.62
2014/6/27,105.7
2014/6/30,105.55
2014/7/1,105.3
2014/7/2,104.21
2014/7/3,104.05
2014/7/4,103.78
2014/7/7,103.31
2014/7/8,103.52
2014/7/9,101.93
2014/7/10,102.87
2014/7/11,100.5
2014/7/14,100.88
2014/7/15,100.19
2014/7/16,101.45
2014/7/17,103.61
2014/7/18,103.07
2014/7/21,104.6
2014/7/22,102.06
2014/7/23,103.29
2014/7/24,101.94
2014/7/25,101.98
2014/7/28,101.59
2014/7/29,101.04
2014/7/30,99.49
2014/7/31,97.65
2014/8/1,97.69
2014/8/4,98.51
2014/8/5,97.62
2014/8/6,96.88
2014/8/7,97.63
2014/8/8,97.45
2014/8/11,97.82
2014/8/12,97.15
2014/8/13,97.29
2014/8/14,95.5
2014/8/15,97.23
2014/8/18,96.66
2014/8/19,94.38
2014/8/20,93.52
2014/8/21,93.92
2014/8/22,93.35
2014/8/26,93.87
2014/8/27,93.8
2014/8/28,94.53
2014/8/29,95.86
2014/9/1,95.65
2014/9/2,93.2
2014/9/3,95.09
2014/9/4,94.55
2014/9/5,93.44
2014/9/8,93.12
2014/9/9,92.72
2014/9/10,91.62
2014/9/11,93.05
2014/9/12,92.16
2014/9/15,92.82
2014/9/16,94.78
2014/9/17,94.02
2014/9/18,92.99
2014/9/19,92.39
2014/9/22,90.69
2014/9/23,91.73
2014/9/24,92.93
2014/9/25,92.53
2014/9/26,93.35
2014/9/29,94.39
2014/9/30,91.25
2014/10/1,90.76
2014/10/2,91.45
2014/10/3,89.65
2014/10/6,90.41
2014/10/7,88.39
2014/10/8,87.76
2014/10/9,84.43
2014/10/10,85.45
2014/10/13,84.98
2014/10/14,82.35
2014/10/15,81.05
2014/10/16,83.24
2014/10/17,82.85
2014/10/20,82.65
2014/10/21,82.54
2014/10/22,80.39
2014/10/23,81.92
2014/10/24,81.3
2014/10/27,80.68
2014/10/28,81.58
2014/10/29,81.87
2014/10/30,80.95
2014/10/31,80.71
2014/11/3,78.23
2014/11/4,77.43
2014/11/5,78.9
2014/11/6,77.87
2014/11/7,78.44
2014/11/10,77.21
2014/11/11,77.46
2014/11/12,76.99
2014/11/13,74.36
2014/11/14,75.91
2014/11/17,75.54
2014/11/18,74.22
2014/11/19,74.95
2014/11/20,76.28
2014/11/21,76.66
2014/11/24,75.5
2014/11/25,73.82
2014/11/26,73.43
2014/11/27,69.28
2014/11/28,66.1
2014/12/1,69.19
2014/12/2,67.6
2014/12/3,67.29
2014/12/4,66.81
2014/12/5,65.79
2014/12/8,62.92
2014/12/9,63.38
2014/12/10,61.06
2014/12/11,59.22
2014/12/12,57.59
2014/12/15,55.31
2014/12/16,55.41
2014/12/17,55.87
2014/12/18,54.52
2014/12/19,57.85
2014/12/22,55.26
2014/12/23,56.82
2014/12/24,55.8
2014/12/29,53.61
2014/12/31,53.55
2015/1/2,52.69
2015/1/5,49.94
2015/1/6,47.95
2015/1/7,48.74
2015/1/8,48.95
2015/1/9,48.13
2015/1/12,45.67
2015/1/13,46.05
2015/1/14,48.52
2015/1/15,46.39
2015/1/16,48.6
2015/1/19,48.04
2015/1/20,46.62
2015/1/21,47.31
2015/1/22,46.64
2015/1/23,45.35
2015/1/26,45.09
2015/1/27,45.78
2015/1/28,44.34
2015/1/29,44.5
2015/1/30,48.19
2015/2/2,49.87
2015/2/3,51.64
2015/2/4,48.6
2015/2/5,50.83
2015/2/6,52.33
2015/2/9,52.45
2015/2/10,50.97
2015/2/11,49.41
2015/2/12,51.31
2015/2/13,52.67
2015/2/16,52.82
2015/2/17,53.27
2015/2/18,50.64
2015/2/19,51.16
2015/2/20,50.77
2015/2/23,49.48
2015/2/24,49.19
2015/2/25,50.96
2015/2/26,48.91
2015/2/27,49.67
2015/3/2,49.83
2015/3/3,50.62
2015/3/4,51.65
2015/3/5,50.94
2015/3/6,49.69
2015/3/9,50.1
2015/3/10,48.69
2015/3/11,48.39
2015/3/12,46.92
2015/3/13,45.05
2015/3/16,43.83
2015/3/17,42.52
2015/3/18,44.64
2015/3/19,43.99
2015/3/20,46.5
2015/3/23,47.48
2015/3/24,47.73
2015/3/25,49.05
2015/3/26,51.11
2015/3/27,48.58
2015/3/30,48.71
2015/3/31,47.7
2015/4/1,49.59
2015/4/2,49.5
2015/4/7,53.16
2015/4/8,50.98
2015/4/9,50.72
2015/4/10,51.72
2015/4/13,52.06
2015/4/14,53.47
2015/4/15,55.84
2015/4/16,56.65
2015/4/17,56.07
2015/4/20,56.37
2015/4/21,56.29
2015/4/22,56.2
2015/4/23,57.5
2015/4/24,57.4
2015/4/27,56.65
2015/4/28,56.9
2015/4/29,58.65
2015/4/30,59.8
2015/5/1,59.33
2015/5/5,60.66
2015/5/6,60.69
2015/5/7,59.01
2015/5/8,59.5
2015/5/11,59.2
2015/5/12,61.32
2015/5/13,60.08
2015/5/14,59.7
2015/5/15,59.88
2015/5/18,59.4
2015/5/19,58.32
2015/5/20,58.88
2015/5/21,60.72
2015/5/22,59.87
2015/5/26,58.36
2015/5/27,57.63
2015/5/28,57.96
2015/5/29,60.25
2015/6/1,60.25
2015/6/2,60.96
2015/6/3,59.53
2015/6/4,58.02
2015/6/5,58.96
2015/6/8,58.26
2015/6/9,60.6
2015/6/10,61.1
2015/6/11,60.52
2015/6/12,59.93
2015/6/15,59.57
2015/6/16,60.02
2015/6/17,59.84
2015/6/18,60.51
2015/6/19,59.58
2015/6/22,60.27
2015/6/23,61.19
2015/6/24,60.2
2015/6/25,59.68
2015/6/26,59.5
2015/6/29,58.18
2015/6/30,58.97
2015/7/1,56.91
2015/7/2,56.5
2015/7/3,55.68
2015/7/6,52.7
2015/7/7,52.95
2015/7/8,51.74
2015/7/9,52.69
2015/7/10,52.71
2015/7/13,52.04
2015/7/14,53.37
2015/7/15,51.64
2015/7/16,50.9
2015/7/17,50.81
2015/7/20,50.1
2015/7/21,50.74
2015/7/22,49.27
2015/7/23,48.75
2015/7/24,47.98
2015/7/27,46.99
2015/7/28,47.75
2015/7/29,48.9
2015/7/30,48.5
2015/7/31,46.82
2015/8/3,45.34
2015/8/4,45.97
2015/8/5,45.18
2015/8/6,44.81
2015/8/7,43.87
2015/8/10,44.74
2015/8/11,43.34
2015/8/12,43.32
2015/8/13,42.24
2015/8/14,42.14
2015/8/17,41.79
2015/8/18,42.3
2015/8/19,40.77
2015/8/20,41.09
2015/8/21,40.27
2015/8/24,38.15
2015/8/25,39.68
2015/8/26,38.93
2015/8/27,42.64
2015/8/28,45.11
2015/8/31,48.1
2015/9/1,44.37
2015/9/2,46.15
2015/9/3,46.7
2015/9/4,45.66
2015/9/7,44.32
2015/9/8,45.7
2015/9/9,44.07
2015/9/10,45.72
2015/9/11,44.79
2015/9/14,44.13
2015/9/15,45.18
2015/9/16,47.18
2015/9/17,46.9
2015/9/18,44.89
2015/9/21,46.68
2015/9/22,46.55
2015/9/23,44.64
2015/9/24,45.1
2015/9/25,45.4
2015/9/28,44.55
2015/9/29,44.88
2015/9/30,45.44
2015/10/1,45.13
2015/10/2,45.6
2015/10/5,46.16
2015/10/6,48.93
2015/10/7,48.2
2015/10/8,49.66
2015/10/9,49.59
2015/10/12,47.5
2015/10/13,46.63
2015/10/14,46.33
2015/10/15,46.96
2015/10/16,47.16
2015/10/19,45.83
2015/10/20,45.88
2015/10/21,45.24
2015/10/22,45.38
2015/10/23,44.77
2015/10/26,43.83
2015/10/27,43.37
2015/10/28,46.04
2015/10/29,45.67
2015/10/30,46.41
2015/11/2,46.06
2015/11/3,47.72
2015/11/4,46.58
2015/11/5,45.36
