update_date,open,high,low,close,amt,volume,position_all
2014/11/7,511.41,517.8,509.71,516.1,0,1372700,4097226
2014/11/10,515.6,521.05,514.12,518.26,0,1125500,4098064
2014/11/11,515.83,516.95,511.02,514.17,0,876500,4060354
2014/11/12,516.75,518.3,510.61,511.5,0,822600,4112156
2014/11/13,510.23,511.53,507.54,509.79,0,852900,4349562
2014/11/14,507.79,511.81,506.46,510.22,0,634500,4303746
2014/11/17,511.55,512.84,507.85,509.44,0,693600,4520540
2014/11/18,506.85,506.85,488.99,489.23,0,1524200,4822134
2014/11/19,487.06,487.61,471.65,475.72,0,1578400,4518394
2014/11/20,476.54,481.03,475.19,477.25,0,661000,4521098
2014/11/21,474.46,477.58,467.62,476.67,0,1381000,4465230
2014/11/24,482.36,482.97,470.66,471.14,0,1109200,4412948
2014/11/25,481.22,481.22,459.98,467.33,0,1444900,4491532
2014/11/26,464.23,469.48,459.61,467.67,0,1712100,4498740
2014/11/27,469.4,481.97,468.9,481.83,0,1611600,3955024
2014/11/28,480.84,486.21,480.12,486.21,0,1710600,3601126
2014/12/1,479.13,483.24,471.12,480.45,0,1539300,3441152
2014/12/2,488.7,489.64,473.07,476.25,0,1367000,3530728
2014/12/3,475.25,483.86,472.76,482.94,0,1256300,3426492
2014/12/4,482.03,496.18,481.86,493.6,0,2144600,3383014
2014/12/5,493.75,493.75,487.07,490.69,0,1334300,3367188
2014/12/8,489.35,495.91,479.35,481.02,0,1549500,3302196
2014/12/9,479.75,488.25,470.46,487.31,0,1866900,3287166
2014/12/10,485.48,487.3,474.94,482.54,0,1311900,3266402
2014/12/11,479.92,489.52,478.64,479.43,0,1274400,3153688
2014/12/12,478.95,488.95,478.75,488.95,0,1004300,3156704
2014/12/15,487.62,490.14,482.04,483.45,0,885700,3139238
2014/12/16,478.62,479.28,472.82,478.18,0,912300,2958412
2014/12/17,476.61,486.26,474.83,483.38,0,1114600,2945998
2014/12/18,485.67,488.53,483.6,485.58,0,885400,2907100
2014/12/19,487.69,492.43,486.57,490.09,0,671400,2922786
2014/12/22,488.3,489.06,481.28,483.41,0,764200,2845218
2014/12/23,480.58,480.58,470.32,472.58,0,868600,2790730
2014/12/24,472.77,477.18,469.57,476.4,0,747700,2689718
2014/12/25,476.1,479.06,471.99,475.28,0,456800,2656936
2014/12/26,475.14,477.9,472.32,473.53,0,334300,2646424
2014/12/29,474.29,484.87,474.29,484.11,0,735200,2727232
