,update_date,open,high,low,close,volume,Date,volume,invest_signal,return_rate
2016-04-05,2016-04-05 09:05:00,14464.12,14500.82,14447.07,14469.17,15816.0,2016-04-05 00:00:00,201800,1.0,-0.00931864958622
2016-04-06,2016-04-06 09:05:00,14329.96,14335.79,14314.84,14318.65,7212.0,2016-04-06 00:00:00,313200,1.0,-0.00498239845338
2016-04-07,2016-04-07 09:05:00,14258.74,14283.43,14245.44,14264.71,7890.0,2016-04-07 00:00:00,308800,1.0,-0.0207077310227
2016-04-08,2016-04-08 09:05:00,13966.51,13978.79,13956.86,13966.61,6456.0,2016-04-08 00:00:00,427800,1.0,0.00971741990747
2016-04-11,2016-04-11 09:05:00,14102.89,14126.8,14088.29,14103.61,10430.0,2016-04-11 00:00:00,389300,1.0,-0.00275642274346
2016-04-12,2016-04-12 09:05:00,14064.07,14077.17,14060.34,14070.66,3206.0,2016-04-12 00:00:00,307000,1.0,0.0472162933944
2016-04-13,2016-04-13 09:05:00,14744.05,14764.97,14737.81,14759.32,27986.0,2016-04-13 00:00:00,717100,1.0,0.018232067644
2016-04-14,2016-04-14 09:05:00,15015.33,15102.12,15015.33,15091.1,25080.0,2016-04-14 00:00:00,979400,1.0,-0.014470174451
2016-04-15,2016-04-15 09:05:00,14799.62,14828.59,14796.75,14808.22,7970.0,2016-04-15 00:00:00,598100,1.0,0.0121251541751
2016-04-18,2016-04-18 09:05:00,14980.16,15063.18,14967.06,15060.09,23264.0,2016-04-18 00:00:00,884500,1.0,0.00683366683763
2016-04-19,2016-04-19 09:05:00,15082.88,15103.67,15082.88,15099.15,13764.0,2016-04-19 00:00:00,699800,1.0,0.00872737276915
2016-04-20,2016-04-20 09:05:00,15215.09,15252.94,15204.47,15251.11,17196.0,2016-04-20 00:00:00,712700,1.0,-0.00623824362233
2016-04-21,2016-04-21 09:05:00,15120.47,15190.27,15117.58,15185.4,11592.0,2016-04-21 00:00:00,894500,0.5,-0.00688920348938
2016-06-01,2016-06-01 09:05:00,15118.06,15118.62,15064.5,15083.59,15250.0,2016-06-01 00:00:00,366500,0.5,0.01995947193
2016-06-02,2016-06-02 09:05:00,15422.84,15480.98,15422.84,15472.39,24734.0,2016-06-02 00:00:00,1001500,1.0,0.00641271033464
2016-06-03,2016-06-03 09:05:00,15522.06,15583.22,15518.79,15583.22,11008.0,2016-06-03 00:00:00,563800,1.0,0.00736551221354
2016-06-06,2016-06-06 09:05:00,15636.81,15660.1,15629.24,15659.09,8802.0,2016-06-06 00:00:00,624200,1.0,0.00951662554746
2016-06-07,2016-06-07 09:05:00,15786.33,15786.33,15745.78,15754.6,9012.0,2016-06-07 00:00:00,462800,1.0,-0.0147982472509
2016-06-08,2016-06-08 09:05:00,15554.44,15579.38,15540.7,15540.7,8182.0,2016-06-08 00:00:00,507200,1.0,0.0137677113572
2016-06-13,2016-06-13 09:05:00,15770.07,15810.32,15743.32,15805.01,31272.0,2016-06-13 00:00:00,403800,1.0,0.0096017781576
2016-06-14,2016-06-14 09:05:00,15922.22,15928.5,15847.29,15865.88,14134.0,2016-06-14 00:00:00,447100,1.0,-0.0171207469657
2016-06-15,2016-06-15 09:05:00,15651.94,15673.14,15622.84,15630.7,10040.0,2016-06-15 00:00:00,424500,1.0,0.00281039475292
2016-06-16,2016-06-16 09:05:00,15695.99,15698.68,15672.4,15695.94,9582.0,2016-06-16 00:00:00,397800,1.0,-0.0127497749468
2016-06-17,2016-06-17 09:05:00,15497.14,15522.09,15490.14,15514.81,10534.0,2016-06-17 00:00:00,428100,1.0,0.00419647454408
2016-06-20,2016-06-20 09:05:00,15562.31,15601.03,15553.84,15601.03,11332.0,2016-06-20 00:00:00,373400,1.0,0.0124689194093
2016-06-21,2016-06-21 09:05:00,15757.57,15762.81,15739.31,15743.2,4354.0,2016-06-21 00:00:00,384900,1.0,-0.00198577877138
2016-06-22,2016-06-22 09:05:00,15726.31,15737.35,15717.92,15723.87,7584.0,2016-06-22 00:00:00,392500,1.0,0.00250729679397
2016-06-23,2016-06-23 09:05:00,15765.79,15780.65,15753.34,15765.01,4320.0,2016-06-23 00:00:00,308000,1.0,-0.00363470625778
2016-06-24,2016-06-24 09:05:00,15708.59,15722.24,15673.41,15685.0,13910.0,2016-06-24 00:00:00,472400,1.0,-0.00593920305816
2016-06-27,2016-06-27 09:05:00,15615.57,15627.46,15599.87,15611.13,7794.0,2016-06-27 00:00:00,391900,1.0,0.00103432945827
2016-06-28,2016-06-28 09:05:00,15631.73,15632.05,15614.35,15616.2,4598.0,2016-06-28 00:00:00,547000,1.0,0.0405448530739
2016-06-29,2016-06-29 09:05:00,16278.54,16323.86,16278.54,16302.64,13892.0,2016-06-29 00:00:00,722500,1.0,-0.00272077208149
2016-06-30,2016-06-30 09:05:00,16234.31,16266.26,16213.27,16261.8,10412.0,2016-06-30 00:00:00,545500,1.0,0.010928521507
2016-07-01,2016-07-01 09:05:00,16412.7,16426.55,16376.46,16380.99,10820.0,2016-07-01 00:00:00,496800,1.0,0.0172167577673
2016-07-04,2016-07-04 09:05:00,16697.72,16729.39,16661.1,16661.1,24780.0,2016-07-04 00:00:00,739500,1.0,-0.0113931488945
2016-07-05,2016-07-05 09:05:00,16508.56,16579.57,16507.82,16579.57,10596.0,2016-07-05 00:00:00,590100,1.0,-0.00885634581466
2016-07-06,2016-07-06 10:05:00,16363.0,16373.74,16359.1,16370.08,395438.0,2016-07-06 00:00:00,683700,1.0,0.0103683565379
2016-07-07,2016-07-07 09:05:00,16533.54,16556.1,16498.99,16556.1,13540.0,2016-07-07 00:00:00,526500,1.0,-0.00674174380823
2016-07-08,2016-07-08 09:05:00,16422.45,16427.82,16370.98,16370.98,9920.0,2016-07-08 00:00:00,539300,1.0,0.0123298617512
2016-07-11,2016-07-11 09:05:00,16626.19,16642.36,16605.88,16614.32,14350.0,2016-07-11 00:00:00,502300,1.0,0.00308673915162
2016-07-12,2016-07-12 09:05:00,16677.59,16698.88,16667.2,16698.88,8720.0,2016-07-12 00:00:00,383700,1.0,0.0183294604625
2016-07-13,2016-07-13 09:05:00,16986.1,17068.81,16973.96,17045.88,9976.0,2016-07-13 00:00:00,741500,0.5,0.022014677015
2016-07-25,2016-07-25 09:05:00,17223.72,17236.17,17183.51,17219.97,15574.0,2016-07-25 00:00:00,642400,0.5,0.00629815609162
2016-07-26,2016-07-26 09:05:00,17332.54,17345.97,17294.51,17300.51,13574.0,2016-07-26 00:00:00,631900,1.0,-0.00943770995128
2016-07-27,2016-07-27 09:05:00,17169.73,17187.71,17162.82,17184.87,8248.0,2016-07-27 00:00:00,652100,1.0,-0.0188768212703
2016-07-28,2016-07-28 09:05:00,16848.66,16886.28,16844.7,16882.35,17530.0,2016-07-28 00:00:00,654100,1.0,0.0113487294289
2016-07-29,2016-07-29 09:05:00,17040.96,17047.91,16999.57,17014.63,14664.0,2016-07-29 00:00:00,483400,1.0,0.00830357497072
2016-08-01,2016-08-01 09:05:00,17183.05,17240.15,17179.92,17240.15,16800.0,2016-08-01 00:00:00,593300,1.0,0.0080799152827
2016-08-02,2016-08-02 09:05:00,17322.45,17352.63,17322.45,17346.61,8700.0,2016-08-02 00:00:00,378700,1.0,0.00419900616356
2016-08-03,2016-08-03 09:05:00,17395.34,17434.69,17391.61,17427.22,7626.0,2016-08-03 00:00:00,465100,1.0,0.00263688267103
2016-08-04,2016-08-04 09:05:00,17441.27,17445.69,17386.01,17392.56,10908.0,2016-08-04 00:00:00,428500,1.0,-0.00454495954536
2016-08-05,2016-08-05 09:05:00,17362.18,17365.4,17346.26,17348.69,7660.0,2016-08-05 00:00:00,385100,1.0,-0.0010147882767
