category_buy,buy_sum,buy_chg,category_sell,sell_sum,update_date
期货公司  ,94071,1442,期货公司  ,84255,2016-11-15
非期货公司,700,0,非期货公司,10516,2016-11-15
期货公司  ,45762,353,期货公司  ,40319,2016-11-15
非期货公司,0,0,非期货公司,5443,2016-11-15
期货公司  ,21951,203,期货公司  ,19394,2016-11-15
非期货公司,0,0,非期货公司,2557,2016-11-15
期货公司  ,31578,1021,期货公司  ,30578,2016-11-15
非期货公司,0,0,非期货公司,1000,2016-11-15
期货公司  ,343692,-6093,期货公司  ,309789,2016-11-15
非期货公司,3700,200,非期货公司,37603,2016-11-15
期货公司  ,37378,-2114,期货公司  ,35031,2016-11-16
非期货公司,2400,200,非期货公司,4747,2016-11-16
期货公司  ,107434,-814,期货公司  ,95764,2016-11-16
非期货公司,1200,400,非期货公司,12870,2016-11-16
期货公司  ,93255,-816,期货公司  ,83589,2016-11-16
非期货公司,700,0,非期货公司,10366,2016-11-16
期货公司  ,46855,1093,期货公司  ,41831,2016-11-16
非期货公司,0,0,非期货公司,5024,2016-11-16
期货公司  ,22370,419,期货公司  ,19938,2016-11-16
非期货公司,0,0,非期货公司,2432,2016-11-16
期货公司  ,32986,1408,期货公司  ,31986,2016-11-16
非期货公司,0,0,非期货公司,1000,2016-11-16
期货公司  ,340278,-824,期货公司  ,308139,2016-11-16
非期货公司,4300,600,非期货公司,36439,2016-11-16
期货公司  ,34733,-2645,期货公司  ,33626,2016-11-17
非期货公司,2400,0,非期货公司,3507,2016-11-17
期货公司  ,104197,-3237,期货公司  ,93627,2016-11-17
非期货公司,1900,700,非期货公司,12470,2016-11-17
期货公司  ,88426,-4829,期货公司  ,78960,2016-11-17
非期货公司,900,200,非期货公司,10366,2016-11-17
期货公司  ,46997,142,期货公司  ,42129,2016-11-17
非期货公司,100,100,非期货公司,4968,2016-11-17
期货公司  ,23138,768,期货公司  ,20706,2016-11-17
非期货公司,0,0,非期货公司,2432,2016-11-17
期货公司  ,33869,883,期货公司  ,32869,2016-11-17
非期货公司,0,0,非期货公司,1000,2016-11-17
期货公司  ,331360,-8918,期货公司  ,301917,2016-11-17
非期货公司,5300,1000,非期货公司,34743,2016-11-17
期货公司  ,32787,-1946,期货公司  ,31777,2016-11-18
非期货公司,2400,0,非期货公司,3410,2016-11-18
期货公司  ,99034,-5163,期货公司  ,88064,2016-11-18
非期货公司,1500,-400,非期货公司,12470,2016-11-18
期货公司  ,89657,1231,期货公司  ,80191,2016-11-18
非期货公司,900,0,非期货公司,10366,2016-11-18
期货公司  ,46726,-271,期货公司  ,41858,2016-11-18
非期货公司,100,0,非期货公司,4968,2016-11-18
期货公司  ,22757,-381,期货公司  ,20325,2016-11-18
非期货公司,0,0,非期货公司,2432,2016-11-18
期货公司  ,33241,-628,期货公司  ,32241,2016-11-18
非期货公司,0,0,非期货公司,1000,2016-11-18
期货公司  ,324202,-7158,期货公司  ,294456,2016-11-18
非期货公司,4900,-400,非期货公司,34646,2016-11-18
期货公司  ,29779,-3008,期货公司  ,29269,2016-11-21
非期货公司,2700,300,非期货公司,3210,2016-11-21
期货公司  ,99720,686,期货公司  ,89250,2016-11-21
非期货公司,2000,500,非期货公司,12470,2016-11-21
期货公司  ,92221,2564,期货公司  ,82755,2016-11-21
非期货公司,900,0,非期货公司,10366,2016-11-21
期货公司  ,47172,446,期货公司  ,42304,2016-11-21
非期货公司,100,0,非期货公司,4968,2016-11-21
期货公司  ,22530,-227,期货公司  ,20098,2016-11-21
非期货公司,0,0,非期货公司,2432,2016-11-21
期货公司  ,32866,-375,期货公司  ,31866,2016-11-21
非期货公司,0,0,非期货公司,1000,2016-11-21
期货公司  ,324288,86,期货公司  ,295542,2016-11-21
非期货公司,5700,800,非期货公司,34446,2016-11-21
期货公司  ,28086,-1693,期货公司  ,27376,2016-11-22
非期货公司,2500,-200,非期货公司,3210,2016-11-22
期货公司  ,94371,-5349,期货公司  ,83401,2016-11-22
非期货公司,1500,-500,非期货公司,12470,2016-11-22
期货公司  ,96445,4224,期货公司  ,86979,2016-11-22
非期货公司,900,0,非期货公司,10366,2016-11-22
期货公司  ,49324,2152,期货公司  ,44656,2016-11-22
非期货公司,300,200,非期货公司,4968,2016-11-22
期货公司  ,22324,-206,期货公司  ,19892,2016-11-22
非期货公司,0,0,非期货公司,2432,2016-11-22
期货公司  ,32591,-275,期货公司  ,31591,2016-11-22
非期货公司,0,0,非期货公司,1000,2016-11-22
期货公司  ,323141,-1147,期货公司  ,293895,2016-11-22
非期货公司,5200,-500,非期货公司,34446,2016-11-22
期货公司  ,27101,-985,期货公司  ,26291,2016-11-23
非期货公司,2400,-100,非期货公司,3210,2016-11-23
期货公司  ,95323,952,期货公司  ,84353,2016-11-23
非期货公司,1500,0,非期货公司,12470,2016-11-23
期货公司  ,100797,4352,期货公司  ,91091,2016-11-23
非期货公司,900,0,非期货公司,10606,2016-11-23
期货公司  ,48865,-459,期货公司  ,44197,2016-11-23
非期货公司,300,0,非期货公司,4968,2016-11-23
期货公司  ,22135,-189,期货公司  ,19703,2016-11-23
非期货公司,0,0,非期货公司,2432,2016-11-23
期货公司  ,33159,568,期货公司  ,32159,2016-11-23
非期货公司,0,0,非期货公司,1000,2016-11-23
期货公司  ,327380,4239,期货公司  ,297794,2016-11-23
非期货公司,5100,-100,非期货公司,34686,2016-11-23
期货公司  ,24598,-2503,期货公司  ,26028,2016-11-24
非期货公司,2700,300,非期货公司,1270,2016-11-24
期货公司  ,95022,-301,期货公司  ,83452,2016-11-24
非期货公司,1800,300,非期货公司,13370,2016-11-24
期货公司  ,108862,8065,期货公司  ,97596,2016-11-24
非期货公司,900,0,非期货公司,12166,2016-11-24
