Date,PX_LAST,FUT_AGGTE_OPEN_INT
2014/4/11,303.2,162191
2014/4/10,304.5,159990
2014/4/9,303.7,155706
2014/4/8,305.1,153322
2014/4/7,303.95,156778
2014/4/4,302.25,158266
2014/4/3,302.7,156604
2014/4/2,304.55,155388
2014/4/1,303.45,153098
2014/3/31,302.55,155120
2014/3/28,304.15,155661
2014/3/27,299.3,155881
2014/3/26,296.55,159609
2014/3/25,300.55,154057
2014/3/24,294.55,156608
2014/3/21,295.05,154746
2014/3/20,292.85,158251
2014/3/19,298.7,154743
2014/3/18,295.15,159542
2014/3/17,295.2,159941
2014/3/14,295.05,159541
2014/3/13,292.3,160207
2014/3/12,296.2,156840
2014/3/11,295.2,155791
2014/3/10,303.15,150924
2014/3/7,308.25,149174
2014/3/6,321.8,140915
2014/3/5,320.25,142664
2014/3/4,321.45,145295
2014/3/3,317.2,146329
2014/2/28,318.75,143972
2014/2/27,320.1,143567
2014/2/26,321.55,144712
2014/2/25,322.7,146265
2014/2/24,324,147211
2014/2/21,326,146910
2014/2/20,326.1,152617
2014/2/19,327.15,156717
2014/2/18,327.7,162959
2014/2/14,326.45,171066
2014/2/13,325,172712
2014/2/12,325.6,164185
2014/2/11,321.5,164996
2014/2/10,322.45,163589
2014/2/7,323.6,158346
2014/2/6,322.9,154894
2014/2/5,318.85,153264
2014/2/4,319.2,151800
2014/2/3,318.35,150757
2014/1/31,319.7,151240
2014/1/30,322.65,150288
2014/1/29,324.05,151707
2014/1/28,325.3,152829
2014/1/27,325.9,151680
2014/1/24,327.15,152999
2014/1/23,328.55,156246
2014/1/22,333.7,158390
2014/1/21,335.1,160115
2014/1/17,334.45,160570
2014/1/16,334.25,161373
2014/1/15,335.8,163892
2014/1/14,333.6,163296
2014/1/13,334.65,164246
2014/1/10,334.15,166686
2014/1/9,329.9,163426
2014/1/8,334.25,166854
2014/1/7,335.95,169588
2014/1/6,335.95,170740
2014/1/3,335.5,169306
2014/1/2,338.15,168432
2013/12/31,339.65,167024
2013/12/30,338.25,167444
2013/12/27,338.5,168566
2013/12/26,339.85,166065
2013/12/24,337.4,164932
2013/12/23,330.75,160060
2013/12/20,330.8,158842
2013/12/19,329.55,159131
2013/12/18,331.9,161090
2013/12/17,332.15,159879
2013/12/16,332.95,159333
2013/12/13,331.2,158620
2013/12/12,329.55,156371
2013/12/11,329.5,158221
2013/12/10,326.65,159552
2013/12/9,325.8,157093
2013/12/6,324.85,156161
2013/12/5,322.95,154444
2013/12/4,324.9,156603
2013/12/3,316.75,160042
2013/12/2,318.25,159606
2013/11/29,320.5,154136
2013/11/27,319.05,156960
2013/11/26,321.9,158780
2013/11/25,323,163552
2013/11/22,321.85,166223
2013/11/21,319.9,167225
2013/11/20,316.85,171875
2013/11/19,316.6,173106
2013/11/18,316.05,178616
2013/11/15,318.2,176724
2013/11/14,317.2,174241
2013/11/13,317.05,170939
2013/11/12,324.3,163264
2013/11/11,325.95,157385
2013/11/8,325.4,155860
2013/11/7,324.85,155034
2013/11/6,323.7,153535
2013/11/5,325.85,148624
2013/11/4,325.3,150443
2013/11/1,329.85,154427
2013/10/31,330.05,156802
2013/10/30,332.55,156840
2013/10/29,327.8,154498
2013/10/28,326.9,153215
2013/10/25,326.9,152494
2013/10/24,326.35,149199
2013/10/23,326.75,150494
2013/10/22,333.55,154924
2013/10/21,330.35,149118
2013/10/18,329.9,149303
2013/10/17,329.7,150037
2013/10/16,330.8,151114
2013/10/15,330.75,149819
2013/10/14,330.3,149033
2013/10/11,326.9,148610
2013/10/10,324.85,149342
2013/10/9,323.1,149040
2013/10/8,329.25,147936
2013/10/7,329.65,146607
2013/10/4,330.1,147787
2013/10/3,326.85,146685
2013/10/2,331.6,148469
2013/10/1,327.4,148001
2013/9/30,332.3,151271
2013/9/27,332.95,150304
2013/9/26,330.7,148558
2013/9/25,327.2,147273
2013/9/24,325.65,147511
2013/9/23,329.85,148234
2013/9/20,332.05,149758
2013/9/19,334.7,150213
2013/9/18,327.85,150532
2013/9/17,322.3,149173
2013/9/16,322.2,149155
2013/9/13,320.35,149611
2013/9/12,321,150806
2013/9/11,325.7,149671
2013/9/10,326.25,149202
2013/9/9,327.8,149075
2013/9/6,326.15,148213
2013/9/5,324.4,148405
2013/9/4,324.1,146836
2013/9/3,330.45,149072
2013/8/30,323.3,146523
2013/8/29,326.05,151462
2013/8/28,331.1,153115
2013/8/27,333.55,156847
2013/8/26,332.7,159976
2013/8/23,335.6,159316
2013/8/22,333.45,162505
2013/8/21,331.25,160387
2013/8/20,334.2,160062
2013/8/19,333.6,159176
2013/8/16,336.7,160440
2013/8/15,334.05,161377
2013/8/14,334.25,163712
2013/8/13,332.25,161593
2013/8/12,330.95,160504
2013/8/9,330.65,162766
2013/8/8,327.05,166187
2013/8/7,317.3,164354
2013/8/6,317.3,163880
2013/8/5,316.8,165323
2013/8/2,317.25,166413
2013/8/1,316.6,165501
2013/7/31,311.85,166371
2013/7/30,304.2,166158
2013/7/29,310.75,162486
2013/7/26,310.55,163984
2013/7/25,318.55,161331
2013/7/24,317.9,161979
2013/7/23,319.8,161805
2013/7/22,318.5,162440
2013/7/19,314,162186
2013/7/18,313.15,162547
2013/7/17,312.85,162774
2013/7/16,318.65,163870
2013/7/15,314.45,162349
2013/7/12,315.5,160787
2013/7/11,317.75,163488
2013/7/10,309.1,167555
2013/7/9,306.45,169108
2013/7/8,309.95,170412
2013/7/5,306.5,171849
2013/7/3,317.45,170845
2013/7/2,314.3,170977
2013/7/1,315.7,172432
2013/6/28,305.75,175024
2013/6/27,305.95,172868
2013/6/26,304.05,174689
2013/6/25,307.6,178746
2013/6/24,302.85,183022
2013/6/21,310,187352
2013/6/20,307.15,190503
2013/6/19,315.15,192963
2013/6/18,316.75,194877
2013/6/17,321,190465
2013/6/14,320.15,191447
2013/6/13,318.5,191162
2013/6/12,322.55,185423
2013/6/11,319.5,181231
2013/6/10,324.1,177835
2013/6/7,326.85,175500
2013/6/6,331.9,169016
2013/6/5,337.15,168774
2013/6/4,336.9,168538
2013/6/3,333.05,165638
2013/5/31,329.25,165349
2013/5/30,331.55,165586
2013/5/29,329.7,166269
2013/5/28,331.5,165931
2013/5/24,329.55,164646
2013/5/23,330.4,164680
2013/5/22,338.05,164525
2013/5/21,334.35,162304
2013/5/20,336,162316
2013/5/17,332.3,160762
2013/5/16,329.45,161068
2013/5/15,326.5,159140
2013/5/14,328.8,159750
2013/5/13,335.95,158942
2013/5/10,335.3,159221
